net,x,y,z
Net1,3.346492467527911,0.023384847727088376,1.5
Net1,0.7909494128252813,2.0,1.892237735535129
Net1,2.611244917466806,2.0,-0.48380144601658437
Net1,0.0,1.9333078208229182,-0.8195880617373125
Net1,2.9767776884628576,-0.5395774866156533,-1.0
Net1,0.2765446405448395,-0.31995068483722156,2.0
Net1,2.25310150907795,2.0,1.8420788098659258
Net1,2.1999434979515318,-0.11949532559137088,-1.0
Net1,-0.5,0.060697903258067454,0.725571360754613
Net1,3.5,-0.09742342884743449,0.013751592682752722
Net2,0.9113648858926986,5.0,1.4876447281226604
Net2,2.0,4.869541072604131,-0.5904280677845504
Net2,0.13260951185991132,5.0,1.6790244986528986
Net2,1.4705616549348162,3.0518284730588325,-1.0
Net2,-1.0,2.5245393533752325,-0.09472771113944656
Net2,-0.053032927661054496,5.0,0.8661397831585576
Net2,0.6964352439870998,2.6060520538927934,-1.0
Net2,-0.47336500654707836,4.186482071816373,-1.0
Net2,2.0,2.1310797239377055,0.17807152002563376
Net2,-1.0,3.612972958838704,1.637001654690403
Net3,-5.472984911675493,-1.5,2.283246175154609
Net3,-5.5,-0.8047640720788225,0.5150623984600777
Net3,-3.0905687216293956,2.5,0.5617186142176958
Net3,-1.7938343385584758,-1.5,-1.2640110607693682
Net3,-5.5,-0.7701309189136434,2.152552167731322
Net3,-4.242378717008683,2.5,0.4874657373317537
Net3,-5.5,-1.4404812625802181,2.3653779373418806
Net3,-1.5,1.9317615445788214,1.3096434995596904
Net3,-3.5454651928564345,-1.5,-0.3780034321094239
Net3,-5.5,-1.4662531035613071,1.0241562428449793
